Year	LowFreq_Hz	HighFreq_Hz	PeakFreq_Hz	DeltaFreq_Hz	DeltaTime_s	PFC_Num_Inf_Pts
Lockdown	4000	18474.2	5812.5	14474.2	1.505	59
Pre-Lockdown	7692.3	18461.5	10125	10769.2	0.818	137
Lockdown	6108.4	18443.3	10875	12335	0.921	95
Pre-Lockdown	6675.2	18414.2	8300.8	11739.1	0.393	163
Pre-Lockdown	1351.4	18412.2	7324.2	17060.8	1.097	374
Pre-Lockdown	3722.6	18393.9	9375	14671.3	6.782	626
Pre-Lockdown	3343.3	18388.1	10875	15044.8	0.907	249
Pre-Lockdown	4298.5	18388.1	16875	14089.6	0.627	250
Lockdown	6774.4	18387.7	12750	11613.3	1.47	95
Pre-Lockdown	4324.8	18380.5	11230.5	14055.6	0.971	437
Lockdown	12931.9	18370.8	13875	5439	0.602	46
Pre-Lockdown	3741.5	18351.4	12750	14609.8	0.929	349
Lockdown	7552.4	18335.7	7593.8	10783.2	0.771	82
Lockdown	8700.5	18325.7	9843.8	9625.2	0.737	90
Pre-Lockdown	3348.2	18316.4	3375	14968.2	0.552	93
Lockdown	5654.2	18305.1	10312.5	12650.8	1.205	69
Pre-Lockdown	6300.4	18291.6	9562.5	11991.2	1.186	186
Lockdown	6350.5	18268	9937.5	11917.5	0.975	66
Lockdown	4189.2	18244.7	10593.8	14055.5	0.851	39
Pre-Lockdown	8401.6	18237.7	12207	9836.1	0.959	451
Lockdown	6915.3	18223.7	9187.5	11308.5	0.79	67
Pre-Lockdown	5451.1	18170.3	7125	12719.2	1.397	397
Lockdown	10363.6	18167.8	14343.8	7804.2	0.768	71
Lockdown	4489.5	18125.9	10125	13636.4	0.838	48
Pre-Lockdown	5386.5	18118.4	12207	12731.8	2.249	690
Pre-Lockdown	5892.6	18114.2	12695.3	12221.6	0.352	174
Lockdown	7159.3	18101.7	10125	10942.4	1.181	134
Lockdown	7014.8	18088.7	12093.8	11073.9	0.854	58
Pre-Lockdown	1016.2	18088.4	1125	17072.2	1.128	153
Lockdown	5857.6	18061	9187.5	12203.4	0.943	32
Pre-Lockdown	8493.8	18049.3	15136.7	9555.5	1.08	479
Pre-Lockdown	4567.9	18043.1	7324.2	13475.2	2.105	541
Lockdown	13114.3	18042.9	14812.5	4928.6	0.39	23
Lockdown	12923.1	18042	15093.8	5118.9	0.898	88
Lockdown	6042	18042	9937.5	12000	0.835	45
Pre-Lockdown	8145.5	18036.4	13875	9890.9	0.98	143
Lockdown	3546.4	18020.6	4593.8	14474.2	1.818	81
Lockdown	6538.2	18019.9	10218.8	11481.7	0.873	54
Lockdown	4943.5	18019.9	6468.8	13076.4	1.831	127
Lockdown	5621.3	18019.9	8906.2	12398.7	1.207	60
Pre-Lockdown	4473.6	18015.1	4687.5	13541.5	1.181	122
Pre-Lockdown	4556.1	17996.6	7812.5	13440.5	0.552	251
Pre-Lockdown	4196	17996.3	9562.5	13800.2	1.076	167
Pre-Lockdown	2862.5	17992.9	8625	15130.4	0.664	133
Lockdown	8557.8	17990.5	10500	9432.6	0.45	10
Lockdown	5244.8	17958	9562.5	12713.3	0.771	45
Pre-Lockdown	4604.7	17942.3	17871.1	13337.6	1.659	577
Pre-Lockdown	5439.3	17904.3	17578.1	12465	1.197	684
