Year	LowFreq_Hz	HighFreq_Hz	PeakFreq_Hz	DeltaFreq_Hz	DeltaTime_s	PFC_Num_Inf_Pts
Pre-Lockdown	6552.4	10206.7	8789.1	3654.2	0.183	81
Pre-Lockdown	8000	10181.8	9000	2181.8	1.429	35
Lockdown	4458.4	10139.2	6468.8	5680.8	0.899	55
Lockdown	5854.3	10105.7	7406.2	4251.4	1.142	94
Lockdown	3505.2	10103.1	9562.5	6597.9	0.881	84
Pre-Lockdown	4106.2	10053.1	7500	5946.9	2.259	371
Pre-Lockdown	4421.2	10048.2	6347.7	5627	1.022	532
Lockdown	3508.3	10046.5	8625	6538.2	0.826	83
Pre-Lockdown	6521.7	10000	6738.3	3478.3	0.183	47
Lockdown	3793.8	9979.4	5062.5	6185.6	0.849	47
Pre-Lockdown	7402.3	9977	8203.1	2574.7	0.413	19
Pre-Lockdown	8353.6	9944.8	8812.5	1591.2	0.733	33
Pre-Lockdown	7160.2	9944.8	8250	2784.5	0.266	6
Pre-Lockdown	6206.9	9931	9187.5	3724.1	0.322	12
Lockdown	5393.2	9923.5	7875	4530.3	0.29	21
Pre-Lockdown	3727.6	9907.7	6187.5	6180	0.911	137
Lockdown	4000	9904.8	5156.2	5904.8	0.805	23
Pre-Lockdown	8097	9890.9	8109.4	1793.9	0.805	11
Pre-Lockdown	5042	9873.9	5859.4	4831.9	0.21	72
Pre-Lockdown	7175.8	9842.4	8671.9	2666.7	0.661	17
Pre-Lockdown	4209.2	9757.7	7910.2	5548.5	1.01	356
Pre-Lockdown	4015.6	9752.1	4593.8	5736.5	1.456	92
Pre-Lockdown	8339.4	9697	9093.8	1357.6	0.647	13
Pre-Lockdown	5078.6	9665.8	7742.7	4587.1	0.081	8
Lockdown	3548.2	9647.8	4968.8	6099.7	0.321	18
Pre-Lockdown	6851.8	9592.5	8300.8	2740.7	1.769	753
Lockdown	4544.6	9577.5	5062.5	5032.9	1.652	162
Pre-Lockdown	5307.9	9577.3	5859.4	4269.4	1.218	643
Pre-Lockdown	6428.6	9545.5	7617.2	3116.9	0.183	50
Pre-Lockdown	6252.9	9471.3	6468.8	3218.4	1.065	29
Lockdown	3406.2	9435.6	5812.5	6029.4	1.06	101
Pre-Lockdown	3728.7	9369.7	4500	5640.9	1.311	99
Pre-Lockdown	4015.6	9369.7	7125	5354.1	1.571	128
Pre-Lockdown	5733.3	9316.6	7324.2	3583.3	0.122	31
Pre-Lockdown	5920	9274.6	7312.5	3354.6	0.141	23
Pre-Lockdown	3271.4	9200.9	5250	5929.5	0.732	92
Pre-Lockdown	3920	9178.4	7968.8	5258.5	1.822	147
Lockdown	3883.1	9132.5	5062.5	5249.4	0.861	95
Pre-Lockdown	3602.8	9127.1	7812.5	5524.3	0.321	157
Pre-Lockdown	4963.1	9125.7	5625	4162.6	0.887	360
Pre-Lockdown	7134.1	9079.8	7687.5	1945.7	0.917	174
Lockdown	6299	8930.2	6937.5	2631.2	0.24	11
Lockdown	5063.1	8890.4	7031.2	3827.2	0.292	18
Lockdown	4391.9	8872.5	7593.8	4480.6	0.436	37
Lockdown	3309	8850.5	4031.2	5541.5	0.305	18
Pre-Lockdown	4599.1	8646.2	6375	4047.2	0.217	93
Pre-Lockdown	7540.2	8505.7	8343.8	965.5	0.191	6
Lockdown	7811.3	8502.6	8156.2	691.3	0.305	23
Pre-Lockdown	5253.7	8477.6	6562.5	3223.9	0.297	37
Pre-Lockdown	5462.2	8403.4	5859.4	2941.2	0.249	78
Pre-Lockdown	2862.5	8383	5250	5520.5	1.361	274
Lockdown	4394.4	8375.6	5062.5	3981.2	2.527	216
Pre-Lockdown	5221.7	8267.7	6937.5	3046	0.049	5
Lockdown	4657.3	8075.1	5531.2	3417.8	1.015	62
Lockdown	2839.2	8073.9	4500	5234.8	1.109	88
Lockdown	4049	7967.3	6843.8	3918.4	0.94	26
Pre-Lockdown	7116	7955.8	7359.4	839.8	0.179	3
Pre-Lockdown	5554.1	7883.3	6738.3	2329.2	0.06	7
Pre-Lockdown	3722.6	7883.1	4875	4160.5	0.205	38
Pre-Lockdown	3060.9	7791.3	6375	4730.4	0.278	79
Lockdown	3588	7774.1	4781.2	4186	0.35	17
Pre-Lockdown	3065.7	7773.6	5250	4708	0.332	27
Lockdown	3910.9	7682.1	5906.2	3771.2	0.516	22
Lockdown	4561.1	7547.5	5437.5	2986.4	0.788	69
Pre-Lockdown	4330.8	7458.6	5625	3127.8	0.154	57
Lockdown	4832.6	7384.6	6656.2	2552	1.702	148
Pre-Lockdown	4750	7250	7125	2500	0.314	126
Lockdown	3637.7	7231.1	3656.2	3593.3	0.965	68
Pre-Lockdown	4379.6	7094.9	5296.9	2715.3	0.841	9
Pre-Lockdown	4500	7083.3	4828.1	2583.3	1.135	11
Pre-Lockdown	4759.3	6996.6	5343.8	2237.3	1.102	7
Pre-Lockdown	3060.9	6956.5	5625	3895.7	0.317	113
Pre-Lockdown	3547.3	6925.7	5371.1	3378.4	0.906	405
Pre-Lockdown	3175.1	6897.7	5062.5	3722.6	0.517	12
Pre-Lockdown	3048.6	6706.9	4875	3658.3	0.398	68
Pre-Lockdown	3503.6	6700.7	5296.9	3197.1	0.947	24
Pre-Lockdown	2782.6	6678.3	6375	3895.7	0.298	88
Pre-Lockdown	4379.6	6656.9	5390.6	2277.4	0.669	17
Pre-Lockdown	4137.9	6620.7	6515.6	2482.8	0.938	16
Lockdown	3327.2	6610	5625	3282.8	1.283	87
Pre-Lockdown	4375.7	6585.6	5015.6	2209.9	1.097	7
Pre-Lockdown	1751.8	6569.3	4875	4817.5	0.439	108
Pre-Lockdown	2956.2	6569.3	5062.5	3613.1	0.488	19
Pre-Lockdown	4800	6549.2	5296.9	1749.2	0.727	8
Pre-Lockdown	4678	6549.2	4828.1	1871.2	0.825	19
Pre-Lockdown	4962.7	6508.5	5343.8	1545.8	0.506	8
Pre-Lockdown	4708.3	6458.3	5718.8	1750	0.759	7
Pre-Lockdown	4583.3	6416.7	6187.5	1833.3	0.784	11
Pre-Lockdown	4642.3	6350.4	5062.5	1708	0.735	6
Pre-Lockdown	4467.2	6350.4	5812.5	1883.2	1.167	41
Pre-Lockdown	4379.6	6219	5156.2	1839.4	0.751	12
Pre-Lockdown	4598.5	6219	6093.8	1620.4	0.727	14
Pre-Lockdown	4729.9	6219	4968.8	1489.1	0.743	18
Pre-Lockdown	3954	6206.9	4921.9	2252.9	0.808	22
Pre-Lockdown	3722.6	6131.3	5062.5	2408.7	0.442	103
Pre-Lockdown	4500	6125	5343.8	1625	0.939	9
Lockdown	2927.9	6122	5156.2	3194.1	0.631	24
Pre-Lockdown	4248.2	6087.6	4828.1	1839.4	0.988	12
Pre-Lockdown	4729.9	6087.6	5250	1357.7	0.776	20
Pre-Lockdown	4554.7	6087.6	4828.1	1532.8	0.743	28
Pre-Lockdown	3135.9	6087.3	4500	2951.4	0.366	62
Pre-Lockdown	5333.3	6083.3	5390.6	750	0.825	20
Lockdown	4684.2	6052.6	5625	1368.4	0.602	48
Pre-Lockdown	4642.3	6043.8	5437.5	1401.5	0.686	10
Pre-Lockdown	4335.8	6000	5015.6	1664.2	0.865	11
Lockdown	4157.4	5997.6	4312.5	1840.2	1.033	74
Pre-Lockdown	4685.1	5966.9	5156.2	1281.8	0.831	10
Pre-Lockdown	4458.3	5958.3	4921.9	1500	1.045	9
Pre-Lockdown	4905.1	5956.2	5109.4	1051.1	0.841	26
Pre-Lockdown	4510.9	5956.2	5296.9	1445.3	0.923	14
Pre-Lockdown	4948.9	5912.4	5109.4	963.5	0.816	28
Pre-Lockdown	4515.3	5898.3	4781.2	1383.1	0.963	24
Lockdown	4507	5896.7	5062.5	1389.7	0.799	66
Pre-Lockdown	4554.7	5868.6	5437.5	1313.9	0.776	19
Pre-Lockdown	4554.7	5868.6	4781.2	1313.9	0.972	18
Pre-Lockdown	4423.4	5868.6	4781.2	1445.3	0.931	23
Pre-Lockdown	4379.6	5868.6	5109.4	1489.1	0.89	14
Pre-Lockdown	4191.2	5867.6	4687.5	1676.5	2.996	142
Pre-Lockdown	4411.8	5867.6	5062.5	1455.9	0.743	20
Pre-Lockdown	2226.1	5843.5	5625	3617.4	0.629	227
Pre-Lockdown	4198.9	5834.3	5156.2	1635.4	0.82	7
Pre-Lockdown	4598.5	5824.8	4781.2	1226.3	0.939	10
Pre-Lockdown	4500	5823.5	4921.9	1323.5	1.053	30
Pre-Lockdown	4555.9	5816.9	5062.5	1261	1.216	40
Pre-Lockdown	4474.6	5816.9	5015.6	1342.4	0.865	8
Pre-Lockdown	3547.3	5804.7	5625	2257.4	0.293	93
Lockdown	3561.7	5796.5	4593.8	2234.8	0.622	48
Pre-Lockdown	5166.7	5791.7	5765.6	625	0.718	12
Pre-Lockdown	4596.7	5790.1	5062.5	1193.4	0.739	17
Pre-Lockdown	4367.6	5779.4	5156.2	1411.8	0.792	4
Pre-Lockdown	4352.5	5776.3	4921.9	1423.7	3.184	103
Pre-Lockdown	4881.4	5776.3	5343.8	894.9	0.604	10
Lockdown	3282.8	5767.1	4125	2484.3	0.373	19
Lockdown	3565.5	5759.7	4781.2	2194.2	0.94	39
Lockdown	3786.3	5747	5156.2	1960.7	0.622	55
Pre-Lockdown	4729.3	5745.9	5343.8	1016.6	0.774	19
Pre-Lockdown	4686.1	5737.2	4968.8	1051.1	0.792	23
Pre-Lockdown	4204.4	5737.2	5250	1532.8	0.678	9
Pre-Lockdown	4840.7	5735.6	5390.6	894.9	0.58	8
Pre-Lockdown	4411.8	5735.3	5296.9	1323.5	0.89	13
Pre-Lockdown	4625	5708.3	4921.9	1083.3	0.816	14
Pre-Lockdown	4729.9	5693.4	5250	963.5	0.792	15
Pre-Lockdown	4467.2	5693.4	4875	1226.3	0.874	17
Pre-Lockdown	4861.3	5693.4	5109.4	832.1	0.669	6
Pre-Lockdown	4367.6	5691.2	4968.8	1323.5	0.767	22
Pre-Lockdown	4367.6	5691.2	5062.5	1323.5	0.462	16
Pre-Lockdown	3048.6	5690.7	4500	2642.1	0.352	72
Lockdown	4191.9	5679.4	5250	1487.5	0.689	62
Lockdown	3565.8	5678.9	4875	2113.1	0.571	48
Pre-Lockdown	3977.9	5657.5	5109.4	1679.6	0.687	14
Pre-Lockdown	4643.7	5655.2	5203.1	1011.5	0.569	14
Pre-Lockdown	4352.5	5654.2	4781.2	1301.7	1.004	18
Pre-Lockdown	4515.3	5654.2	5015.6	1139	0.898	11
Pre-Lockdown	4637.3	5654.2	5250	1016.9	0.784	16
Pre-Lockdown	4029.2	5649.6	5109.4	1620.4	0.767	9
Pre-Lockdown	4379.6	5649.6	5203.1	1270.1	0.825	13
Pre-Lockdown	4541.7	5625	5109.4	1083.3	0.988	17
Pre-Lockdown	4554.7	5605.8	5015.6	1051.1	0.718	13
Pre-Lockdown	4411.8	5602.9	5062.5	1191.2	0.404	13
Pre-Lockdown	4625	5583.3	5250	958.3	1.143	47
Pre-Lockdown	4791.7	5583.3	5343.8	791.7	0.784	23
Pre-Lockdown	4555.9	5572.9	4593.8	1016.9	0.931	17
Pre-Lockdown	4718.6	5572.9	5250	854.2	0.751	6
Pre-Lockdown	4464.1	5569.1	4875	1105	0.664	6
Pre-Lockdown	4554.7	5562	5015.6	1007.3	0.498	12
Pre-Lockdown	4379.6	5562	4875	1182.5	0.686	4
Pre-Lockdown	4102.9	5558.8	5109.4	1455.9	0.988	26
Lockdown	3771.2	5554	4875	1782.8	0.715	52
Pre-Lockdown	4458.3	5541.7	4781.2	1083.3	0.833	30
Pre-Lockdown	2672.5	5523.2	5250	2850.7	0.346	150
Pre-Lockdown	4379.6	5518.2	5250	1138.7	0.923	27
Pre-Lockdown	4554.7	5518.2	5203.1	963.5	0.547	9
Pre-Lockdown	4102.9	5514.7	5437.5	1411.8	5.764	251
Pre-Lockdown	4335.8	5474.5	4921.9	1138.7	1.037	20
Pre-Lockdown	4729.9	5474.5	5156.2	744.5	0.678	13
Pre-Lockdown	4544.1	5470.6	5015.6	926.5	0.857	7
Pre-Lockdown	4102.9	5470.6	4875	1367.6	0.826	33
Pre-Lockdown	4708.3	5458.3	4921.9	750	0.833	31
Pre-Lockdown	4510.9	5430.7	5015.6	919.7	0.882	30
Pre-Lockdown	4323.5	5426.5	4968.8	1102.9	0.866	17
Pre-Lockdown	4555.9	5369.5	5156.2	813.6	0.808	20
Pre-Lockdown	4160.6	5343.1	4359.4	1182.5	0.531	22
Pre-Lockdown	2658	5316.1	4875	2658.1	0.429	75
Pre-Lockdown	4014.7	5250	4828.1	1235.3	0.767	14
Pre-Lockdown	4191.2	5250	4734.4	1058.8	0.482	16
Lockdown	4118.4	5183.5	4593.8	1065.1	0.346	25
Pre-Lockdown	4058.8	5161.8	4781.2	1102.9	0.612	10
Pre-Lockdown	3440.9	5161.4	4394.5	1720.5	0.661	282
